claim_total,claim_line_sum,avg_line_amount,claims_last_30d,claims_last_90d,days_since_last_claim,claim_duration_days,departure_hour,departure_weekday,distance_user_vs_calc_pct,actual_mileage_vs_calc_pct,gps_variance_km,gps_variance_pct,gps_status,documents_submitted
230.72,230.96,36.72,1,5,32,1,6,0,0.0049,0.0352,6.42,0.008,1,1
851.6,797.49,140.79,0,4,61,2,18,2,0.0354,0.0697,4.24,0.0476,1,1
726.29,653.48,213.4,1,6,0,1,16,4,0.1551,0.1619,6.13,0.0162,1,0
442.77,425.46,217.96,0,5,34,3,13,5,0.2099,0.1819,1.15,0.0528,1,1
261.93,230.76,120.94,1,2,11,2,6,6,0.0096,-0.0062,8.34,0.1207,1,0
206.3,183.06,61.03,4,7,31,3,13,5,-0.171,-0.2251,0.59,0.1091,1,0
757.58,675.07,128.44,1,5,34,1,19,4,-0.0173,-0.0179,11.62,0.1789,2,1
1020.22,1002.14,190.21,0,1,25,2,13,4,0.0607,0.0014,10.6,0.1408,1,1
801.03,726.55,156.15,0,3,16,3,5,0,0.0504,0.1431,0.0,0.1095,1,1
1139.38,1088.03,237.27,0,0,27,1,9,5,-0.0998,-0.09,2.85,0.2214,2,1
532.74,489.66,232.94,1,5,5,1,19,0,0.2337,0.234,6.18,0.1682,2,1
27.63,27.75,27.04,1,6,29,2,12,2,0.0094,-0.0209,13.47,0.2011,2,1
280.34,271.8,68.32,2,4,41,1,6,5,0.177,0.1359,0.0,0.1849,2,1
67.96,65.36,69.68,2,4,22,3,7,3,0.1342,0.0423,11.12,0.1387,1,1
294.76,263.24,242.56,2,3,44,2,17,0,0.0743,0.1134,3.57,0.0964,1,1
1651.53,1510.07,248.9,0,0,9,5,6,5,0.035,0.0498,0.0,0.1028,1,1
217.55,220.38,240.59,0,1,8,4,12,4,0.2226,0.165,0.0,0.001,1,1
184.3,184.72,59.02,2,4,17,1,15,6,0.0651,0.0624,0.0,0.0179,1,1
331.25,291.43,61.16,3,5,0,3,14,4,0.2402,0.3304,2.9,0.0222,1,1
225.63,224.98,34.86,1,6,24,1,14,4,0.0769,0.1214,0.0,0.0466,1,1
706.05,729.04,227.28,0,0,32,2,13,1,-0.1194,-0.1228,0.0,0.0712,1,1
1534.73,1374.07,226.94,1,4,31,3,14,2,0.2223,0.1695,12.23,0.0351,1,1
350.64,330.17,170.06,3,7,0,3,10,6,0.0103,0.0488,0.0,0.193,2,1
966.61,869.13,202.54,1,2,27,1,6,6,-0.0287,-0.0226,8.85,0.0482,1,1
134.96,131.07,63.5,1,5,32,1,15,0,0.1653,0.2646,14.55,0.1578,2,1
164.38,148.45,153.18,4,6,34,2,11,2,0.1735,0.1882,0.0,0.0642,1,1
1091.58,1053.39,186.89,4,7,10,2,14,4,-0.003,-0.0216,9.73,0.0321,1,1
727.88,661.94,169.58,2,3,6,1,5,2,0.0208,0.0723,0.0,0.0308,1,1
765.19,690.14,172.15,3,6,16,2,15,0,0.2232,0.258,0.0,0.0567,1,1
24.8,23.13,21.09,0,4,0,3,11,5,0.0037,-0.0515,4.33,0.1822,2,1
206.34,185.75,196.82,1,4,3,3,9,6,0.0197,-0.0403,5.63,0.023,1,1
689.1,655.69,157.04,1,5,0,1,20,3,0.0448,0.0824,0.0,0.0108,1,1
436.7,399.65,67.42,1,6,43,3,17,5,0.0833,0.1032,7.41,0.026,1,1
66.37,58.69,59.64,2,5,11,1,17,3,0.1617,0.1634,4.26,0.0572,1,0
646.91,582.82,139.17,2,3,11,1,17,5,0.0607,0.0893,9.8,0.1479,1,1
607.19,628.04,152.05,2,4,33,1,13,3,-0.0117,0.037,0.0,0.2028,2,1
246.66,258.59,70.55,0,2,3,1,6,6,-0.1194,-0.0824,4.88,0.1319,1,1
686.98,691.41,170.67,0,4,26,1,8,6,0.1809,0.0637,5.06,0.09,1,1
1517.86,1333.45,227.93,2,6,50,2,14,6,0.2353,0.199,0.0,0.1059,1,1
577.58,549.45,112.81,0,2,46,1,8,3,0.2154,0.198,8.46,0.0166,1,1
896.89,835.73,135.22,3,5,8,3,15,6,-0.0929,-0.0896,18.01,0.0661,1,1
729.67,763.46,156.48,2,7,30,3,13,2,0.0201,0.0862,9.58,0.019,1,1
66.83,63.78,30.55,1,4,0,1,7,2,0.0623,0.0759,13.06,0.048,1,1
538.99,508.45,92.5,2,4,8,2,12,0,0.0312,-0.0116,3.34,0.0917,1,1
135.19,123.47,61.93,2,3,21,3,12,2,0.0966,0.1002,4.91,0.0252,1,0
469.97,436.14,80.11,1,5,27,2,14,3,-0.0586,-0.0525,8.47,0.0685,1,0
196.04,203.19,207.31,1,1,20,1,12,0,0.0107,-0.0377,1.78,0.0,1,1
524.08,467.08,118.12,0,5,15,4,8,6,0.0717,0.1049,2.13,0.0454,1,1
50.8,46.7,47.57,1,2,25,2,7,5,0.2828,0.2869,8.68,0.1039,1,1
244.04,226.06,112.03,0,5,28,2,10,6,-0.0207,0.0571,0.0,0.0557,1,1
490.36,488.18,82.98,0,3,19,4,13,0,-0.0751,0.0322,12.33,0.1271,1,0
1391.29,1261.8,207.14,0,1,3,2,13,1,0.1784,0.1774,10.21,0.0897,1,1
417.47,372.22,89.99,0,1,51,4,6,3,-0.0243,0.0082,6.4,0.1699,2,0
174.79,169.27,167.84,2,3,3,4,19,6,0.1397,0.1522,7.36,0.1223,1,0
183.69,171.39,39.14,1,4,36,1,8,3,0.0329,0.1012,1.17,0.1723,2,1
554.81,484.11,75.62,3,4,6,2,9,6,0.237,0.2735,7.34,0.0294,1,1
599.6,593.83,206.93,0,2,0,3,16,2,0.17,0.1107,1.59,0.0207,1,1
442.23,394.43,67.31,1,3,15,3,17,3,0.2622,0.2558,2.01,0.0472,1,0
298.75,265.81,130.55,2,5,9,1,18,6,0.1014,0.0851,1.13,0.1013,1,1
588.4,579.3,105.4,2,6,0,1,20,6,-0.1109,-0.1285,4.87,0.1858,2,1
362.13,373.45,189.22,0,2,0,1,6,2,-0.1936,-0.1816,0.0,0.0523,1,1
800.43,812.61,173.63,1,4,2,3,20,4,0.133,0.1766,3.88,0.1337,1,1
920.06,937.31,226.29,0,3,31,1,13,3,-0.0466,-0.0278,0.7,0.0198,1,1
502.56,461.12,96.15,2,2,34,1,5,4,0.1878,0.1227,17.0,0.0546,1,1
618.23,556.77,196.18,1,2,37,2,9,5,-0.1548,-0.0973,8.83,0.1996,2,1
516.23,511.62,185.77,2,6,29,3,16,4,-0.0457,-0.0462,10.8,0.2133,2,0
534.41,549.22,189.17,2,7,22,3,17,6,-0.0983,-0.0823,0.0,0.083,1,1
414.46,413.46,98.46,1,3,12,1,12,3,0.2961,0.3124,0.0,0.0215,1,1
175.89,161.34,162.5,1,1,16,6,8,0,0.1422,0.1482,11.42,0.0284,1,0
1536.96,1399.2,237.03,2,2,17,2,20,4,-0.1974,-0.1302,9.65,0.0937,1,1
430.63,396.11,215.31,0,2,9,1,8,6,0.0965,0.1064,1.65,0.1036,1,0
183.95,188.63,198.83,3,6,55,3,11,4,0.1014,0.2001,2.39,0.1148,1,0
96.34,83.96,76.55,0,0,16,2,16,6,0.0025,0.0185,0.0,0.1347,1,1
597.7,571.82,136.26,1,5,15,2,12,4,0.2521,0.2756,8.88,0.017,1,1
25.24,24.49,24.6,0,5,3,2,9,0,0.0719,0.121,9.98,0.015,1,1
728.67,680.31,137.33,0,0,13,1,11,3,-0.0325,-0.0217,0.5,0.1452,1,1
81.9,81.82,85.01,3,5,16,2,18,0,0.0775,0.0759,0.0,0.0968,1,0
420.44,411.91,89.12,1,4,25,1,6,2,-0.0402,-0.0677,0.34,0.0572,1,1
439.25,413.9,213.35,2,3,35,1,5,4,0.1163,0.2012,0.0,0.0752,1,1
663.61,672.84,231.17,2,2,20,2,5,0,0.048,0.0132,0.0,0.1109,1,1
613.37,573.65,87.85,2,6,17,2,19,5,0.0652,0.0045,7.77,0.0381,1,1
352.65,324.82,113.18,1,3,21,2,17,4,0.1264,0.1378,13.65,0.0397,1,1
263.9,240.03,88.75,2,6,42,1,16,0,0.0496,-0.0161,9.95,0.0085,1,1
492.53,451.07,148.18,2,4,28,2,15,1,0.1028,0.037,10.64,0.0568,1,1
73.43,69.61,68.4,0,2,35,2,8,4,0.1131,0.0046,3.18,0.014,1,1
122.67,123.98,66.7,3,6,26,1,10,6,-0.043,-0.0832,0.0,0.0441,1,1
914.74,901.54,164.32,2,4,21,1,13,4,0.0829,0.1387,6.47,0.0516,1,1
102.53,91.46,28.42,2,5,2,2,6,3,0.1814,0.1462,7.09,0.1683,2,1
140.21,125.47,118.13,2,5,24,4,19,4,0.0958,0.0667,3.5,0.0402,1,1
508.34,472.36,172.94,2,4,12,3,17,2,0.0471,0.1447,11.95,0.0589,1,1
141.89,139.11,149.86,3,5,18,1,14,4,-0.1091,-0.1724,11.43,0.1203,1,1
1568.61,1619.31,249.32,0,4,21,2,14,1,0.1546,0.1408,4.4,0.0345,1,0
59.15,60.97,28.52,1,6,0,3,9,4,0.0756,0.0543,6.5,0.1388,1,1
340.36,332.75,183.08,0,4,51,2,19,1,-0.0509,-0.06,6.43,0.0065,1,1
545.72,525.68,172.79,1,4,0,1,11,6,0.0849,0.0045,0.0,0.1559,2,1
176.77,181.31,180.74,1,1,36,3,9,6,-0.2182,-0.1719,5.15,0.1555,2,1
109.97,107.31,109.58,1,2,30,2,15,6,0.0998,0.1083,5.33,0.1487,1,1
851.19,752.49,122.59,0,0,27,3,18,0,0.0645,0.0281,7.19,0.1158,1,1
624.28,551.95,119.71,1,4,22,2,18,0,0.1167,0.0889,1.06,0.0095,1,1
83.21,79.14,26.24,2,7,6,2,20,0,-0.1724,-0.2784,3.98,0.0927,1,1
203.86,210.01,67.87,0,0,8,1,10,6,0.1373,0.1475,0.0,0.0467,1,1
189.55,197.98,181.85,0,1,35,1,15,2,-0.3092,-0.3237,0.0,0.0657,1,1
161.91,168.73,78.67,0,4,11,1,19,3,0.0968,0.0797,7.27,0.0562,1,1
612.68,634.39,202.28,0,3,36,1,15,0,0.2046,0.2401,1.17,0.1692,2,1
757.81,691.83,116.54,2,4,10,1,6,0,-0.1133,-0.1375,0.0,0.0361,1,1
50.02,45.22,44.27,1,1,56,3,16,2,-0.0651,-0.0217,0.0,0.0153,1,0
312.86,320.05,116.55,0,1,37,2,10,3,0.0432,-0.0667,2.52,0.1693,2,1
540.45,476.89,249.13,2,4,53,4,19,1,0.1547,0.1225,11.73,0.1355,1,1
564.19,532.25,170.28,1,1,41,2,10,6,-0.1303,-0.1533,7.27,0.2035,2,1
67.51,65.94,16.31,1,5,0,1,7,0,-0.1226,0.0614,2.58,0.0039,1,1
163.48,151.59,27.7,0,2,34,4,10,6,-0.0949,-0.0429,2.66,0.1,1,1
175.95,154.76,82.99,1,2,47,2,14,6,0.1198,0.1355,8.63,0.0648,1,1
679.29,690.53,138.03,2,5,20,2,6,6,-0.1108,-0.0973,2.14,0.194,2,1
411.36,381.67,194.07,0,2,13,1,14,3,0.057,0.1477,0.0,0.1228,1,1
228.17,230.28,115.51,0,4,14,2,17,1,-0.1871,-0.1831,0.0,0.1209,1,1
257.64,255.58,69.5,2,4,13,1,10,6,-0.0237,0.0344,0.09,0.1897,2,1
688.92,656.44,122.04,2,4,35,2,6,0,0.2085,0.1953,11.94,0.1376,1,1
236.98,210.37,213.32,0,4,26,1,17,0,-0.0214,-0.0354,1.78,0.071,1,1
459.84,423.39,77.13,3,5,61,2,16,6,-0.0549,-0.013,10.42,0.0637,1,1
558.97,536.75,89.93,1,4,7,2,15,1,-0.08,-0.0368,8.43,0.0015,1,1
724.71,717.56,137.76,1,5,7,4,5,4,0.03,-0.099,6.49,0.1049,1,1
140.75,133.43,22.33,0,4,28,1,12,0,-0.1173,-0.1515,6.35,0.1503,2,1
762.76,690.28,175.72,3,7,5,3,11,4,0.075,0.0415,11.88,0.02,1,1
494.07,447.36,92.16,1,5,5,1,20,1,0.1436,0.1329,0.0,0.2391,2,0
584.65,557.98,179.18,0,5,28,2,17,3,-0.0473,0.0045,0.0,0.0995,1,1
203.85,188.54,28.97,0,4,33,4,13,4,0.0284,0.0027,0.0,0.0182,1,1
1284.23,1288.66,227.24,2,4,35,2,10,3,-0.0093,-0.0683,0.0,0.0203,1,1
304.24,268.86,87.08,1,1,2,1,6,1,-0.149,-0.102,5.49,0.0723,1,1
258.35,229.76,54.71,1,2,30,1,15,2,-0.1159,-0.1845,6.43,0.0651,1,1
558.28,574.05,122.32,1,1,10,2,10,0,0.0322,-0.056,0.0,0.0313,1,1
1516.55,1440.14,225.29,3,4,40,3,12,0,0.132,0.1295,8.39,0.0841,1,1
861.21,842.74,147.49,0,1,13,1,10,3,-0.0563,-0.1605,11.83,0.0022,1,1
1419.15,1322.69,229.87,1,1,35,2,18,5,-0.1137,-0.1674,1.94,0.0205,1,1
391.17,353.21,173.28,1,4,6,2,8,0,0.1731,0.0781,6.2,0.1629,2,1
657.27,601.13,116.04,0,2,28,3,18,3,0.0719,0.013,1.0,0.052,1,1
690.78,648.22,205.95,0,0,20,2,6,0,0.1851,0.1802,3.13,0.1229,1,1
1563.16,1511.65,244.8,2,7,24,3,9,5,-0.0144,0.0017,1.68,0.1499,1,1
506.71,442.27,210.36,1,3,20,1,17,6,0.067,0.1221,6.18,0.1174,1,0
19.64,18.3,17.73,3,4,8,3,19,4,0.1161,0.0684,0.0,0.0807,1,1
320.42,333.33,62.14,1,4,16,4,15,4,-0.0964,-0.1395,1.82,0.1336,1,1
800.6,796.59,135.1,0,4,15,3,20,0,0.2112,0.3286,1.52,0.0217,1,1
409.16,414.64,107.98,0,3,25,3,9,6,0.0098,0.0137,0.0,0.1179,1,1
277.32,256.94,68.29,3,3,6,2,13,3,-0.027,-0.0584,0.0,0.1117,1,1
960.8,968.77,171.15,0,5,10,4,11,1,0.1083,0.1024,10.85,0.0798,1,1
874.16,876.03,178.9,1,3,39,1,16,4,-0.0329,0.0086,0.0,0.1165,1,1
692.5,670.52,229.44,0,3,27,3,13,4,0.1948,0.1686,1.0,0.0999,1,1
590.65,557.15,146.75,2,6,18,1,20,3,0.0637,0.1075,13.3,0.1343,1,1
1425.69,1351.64,247.68,3,8,57,3,6,6,0.1152,0.1163,2.47,0.0608,1,1
274.93,256.09,131.38,0,2,1,2,18,0,0.0511,0.1306,5.01,0.0239,1,1
1238.04,1093.72,171.77,1,1,34,2,11,4,-0.1675,-0.1827,3.34,0.15,1,1
496.74,455.95,120.16,0,0,60,4,6,0,0.0409,0.0006,7.27,0.0185,1,1
141.95,128.25,129.97,1,4,30,2,6,1,0.108,0.2057,9.18,0.0284,1,1
176.37,166.61,174.26,1,6,14,3,9,6,0.058,0.0979,0.0,0.1332,1,1
