claim_total,claims_last_30d,claims_last_90d,days_since_last_claim,claim_duration_days
61.25,1,2,33,2
354.51,2,2,80,4
92.16,0,0,76,2
365.59,1,2,62,5
441.18,0,3,48,3
480.74,1,1,16,4
431.36,2,4,108,1
291.3,1,1,75,3
328.33,1,2,95,1
152.55,1,1,114,2
2210.57,4,14,26,6
209.87,2,4,94,6
324.1,0,1,25,4
495.28,2,3,92,3
399.19,0,0,108,3
79.78,2,4,32,6
448.1,2,5,23,3
385.24,2,4,100,5
312.58,1,2,22,5
390.09,0,1,85,2
239.97,0,3,53,5
2881.01,5,5,21,12
448.15,1,3,19,3
254.17,2,4,69,7
460.67,2,4,112,6
139.51,1,2,74,7
4633.22,5,10,15,1
213.34,1,2,12,2
4761.27,1,8,26,2
2897.18,2,4,21,8
1243.07,5,14,13,4
3898.69,6,9,22,5
352.25,1,4,120,5
161.56,0,2,7,5
314.79,0,0,95,6
80.33,0,2,14,5
351.03,0,1,97,5
159.35,1,4,29,1
243.97,1,4,64,7
353.01,2,2,12,4
410.26,0,1,29,2
113.08,0,2,64,2
839.23,5,6,1,11
4262.12,1,4,5,7
146.18,1,1,26,4
225.69,1,3,59,6
4979.4,5,15,22,8
183.52,0,0,100,3
312.87,2,3,12,5
133.62,2,2,91,7
103.95,2,3,79,5
86.89,2,4,38,2
191.38,1,4,21,6
255.75,0,0,63,5
4982.43,1,9,6,9
469.96,0,1,52,3
425.18,2,4,83,7
53.52,2,4,89,1
1104.31,1,2,23,9
176.79,0,2,31,6
168.79,1,3,120,7
335.42,1,1,5,3
336.69,1,2,99,4
242.45,0,0,14,6
2955.16,3,12,17,3
68.82,1,1,120,3
162.29,0,2,104,5
2328.7,5,7,29,4
4892.93,2,8,0,3
199.48,1,2,39,2
98.64,0,3,33,2
257.13,1,2,33,1
229.31,1,1,103,3
279.23,2,4,8,1
1675.47,5,9,1,2
205.56,1,4,82,5
454.77,0,2,10,6
283.96,2,3,51,4
348.9,1,3,89,7
455.01,2,4,90,4
363.74,2,3,29,4
220.61,2,3,83,5
296.57,0,2,41,2
310.99,2,4,64,4
146.16,1,2,89,1
348.73,2,4,16,7
1556.91,3,6,25,4
70.8,1,1,63,4
3090.52,6,12,15,7
345.22,0,0,104,4
411.84,2,5,11,5
431.74,1,2,107,4
494.54,2,4,101,4
373.67,2,5,111,5
121.62,1,4,38,7
336.94,2,5,85,2
84.87,1,2,39,3
293.06,0,1,34,4
367.88,0,3,57,3
237.09,0,3,54,7
362.98,2,5,66,1
1843.76,4,10,17,12
409.93,0,3,33,3
63.06,1,4,97,2
463.78,2,2,55,5
62.2,2,5,22,7
72.63,1,3,32,4
392.55,1,3,101,7
425.7,1,1,100,5
478.35,0,0,104,6
63.96,0,1,112,1
157.34,1,1,77,2
165.31,1,2,82,5
3732.61,2,6,3,10
190.38,2,5,55,6
316.44,2,3,18,6
432.62,2,2,106,5
206.24,1,3,13,5
55.69,1,4,18,4
3360.13,4,6,13,3
484.45,1,4,64,4
316.61,1,2,111,1
252.86,1,4,48,1
196.25,1,2,50,7
175.84,2,4,76,1
135.97,0,3,67,5
360.77,2,5,62,7
182.4,1,2,44,6
262.96,2,4,59,6
208.31,1,3,44,3
374.57,1,1,100,5
3605.74,2,5,23,8
315.31,2,4,17,7
152.37,0,2,6,6
173.44,0,2,94,2
388.75,0,0,78,3
248.21,0,0,37,7
419.94,1,4,14,5
74.12,0,2,15,2
393.99,2,3,104,5
458.82,1,4,44,5
324.33,2,2,102,2
169.09,0,1,35,2
120.44,1,4,93,5
64.69,1,3,94,7
359.32,1,2,59,1
341.43,1,2,14,1
188.42,2,4,61,1
186.84,1,3,69,5
86.2,0,3,99,3
61.64,0,0,102,6
309.31,0,3,71,6
175.17,2,5,86,7
91.06,1,4,47,3
435.97,1,4,93,4
475.33,2,2,63,1
195.47,1,1,89,7
235.96,0,2,84,7
248.91,0,1,39,5
179.61,2,5,20,1
3239.92,2,4,9,9
233.59,0,0,64,1
119.29,2,4,70,6
425.62,1,2,63,5
135.77,2,3,115,1
405.49,1,3,105,5
51.15,2,4,112,5
346.97,0,3,73,4
298.36,2,5,63,3
4913.49,2,11,12,4
2348.49,3,10,22,13
494.78,2,3,68,1
484.4,1,1,116,7
286.67,1,1,97,2
344.65,0,0,65,7
2023.53,6,12,20,2
4335.54,5,11,30,6
449.34,1,1,84,1
357.97,1,2,100,1
94.3,2,2,61,2
456.53,0,2,106,1
218.67,0,1,72,4
406.63,0,1,15,5
3288.7,2,9,29,10
257.51,1,4,37,6
412.08,1,2,14,4
4944.43,3,13,30,7
255.57,1,2,54,7
156.74,2,4,78,3
1828.54,6,12,8,1
358.6,2,2,82,6
456.86,1,2,82,7
336.47,2,4,91,7
346.63,0,0,120,6
189.02,1,1,79,3
90.56,1,3,100,4
109.47,2,4,72,5
4237.13,3,10,30,13
441.67,0,3,14,2
151.52,2,5,113,7
90.64,1,1,38,5
215.86,2,4,79,4
473.12,0,1,65,1
474.42,1,2,87,1
258.92,2,4,88,4
70.41,0,2,68,1
449.26,0,3,63,3
384.41,2,5,80,6
448.43,2,2,111,4
472.56,1,1,93,3
250.11,0,2,17,6
455.75,2,4,12,4
485.68,1,1,89,2
318.71,0,0,105,3
106.66,2,3,13,7
143.22,0,1,47,7
455.23,0,2,114,2
2930.97,2,3,21,14
56.69,0,2,7,2
107.04,1,1,100,1
400.1,2,2,62,5
326.79,2,4,63,6
773.71,4,10,13,11
370.57,1,1,120,1
116.75,0,2,84,6
370.46,1,3,63,5
94.63,2,2,114,6
396.03,2,3,60,4
2362.16,4,10,13,12
